"applicationNumber","documentId","date","title","phase","pages"
"EP10007106","LPBUF09D1H7VEF7","29.11.2023","Communication regarding the expiry of opposition period","Search / examination","1"
"EP10007106","LDJAJS501VVL4WO","07.02.2023","Transmission of the certificate for a European patent pursuant to Rule 74 EPC","Search / examination","1"
"EP10007106","LBZRCRM3GI6B73J","05.01.2023","Decision to grant a European patent","Search / examination","2"
"EP10007106","LBOXP0H51SG50TZ","15.12.2022","(Electronic) Receipt","Search / examination","1"
"EP10007106","LBOXOYKQ18IOZO1","15.12.2022","Filing of the translations of the claims","Search / examination","1"
"EP10007106","LBOXOZQ81M6CJ0U","15.12.2022","French translation of claims","Search / examination","4"
"EP10007106","LBOXOZA21CZ0MXF","15.12.2022","German translation of the claims","Search / examination","4"
"EP10007106","LBOXOY6C19Y95I8","15.12.2022","Letter accompanying subsequently filed items","Search / examination","2"
"EP10007106","L8O6G38G1CGADM6","11.10.2022","Bibliographic data of the European patent application","Search / examination","1"
"EP10007106","L8O6G2OM1ATLJVJ","11.10.2022","Communication about intention to grant a European patent","Search / examination","5"
"EP10007106","L8OF2E58H6ICWFZ","11.10.2022","Intention to grant (signatures)","Search / examination","1"
"EP10007106","L8P196POD34ZIVV","11.10.2022","Text intended for grant (clean copy)","Search / examination","38"
"EP10007106","L8P199WTNXMHYXS","11.10.2022","Text intended for grant (version for approval)","Search / examination","38"
"EP10007106","L78U5QDS1SVV36Z","30.08.2022","Notification concerning the date of oral proceedings","Search / examination","2"
"EP10007106","L7AE0P9217Y7K0M","29.08.2022","Annex to the communication","Search / examination","1"
"EP10007106","L7AE0OBS1IUJBVM","29.08.2022","Consultation by telephone/in person","Search / examination","1"
"EP10007106","L7AE0OSHXX6YGLV","29.08.2022","Result of consultation by telephone/in person","Search / examination","1"
"EP10007106","L5QHBJ9EIB7YM2V","18.07.2022","(Electronic) Receipt","Search / examination","2"
"EP10007106","L5QHB8YY1IRV55O","18.07.2022","Amended claims with annotations","Search / examination","4"
"EP10007106","L5QHBDG31MT5N0Y","18.07.2022","Amended claims with annotations","Search / examination","4"
"EP10007106","L5QHBC1Z1G81QQ4","18.07.2022","Amended claims with annotations","Search / examination","4"
"EP10007106","L5QHB7S214UX2DV","18.07.2022","Amended claims with annotations","Search / examination","4"
"EP10007106","L5QHBEWI1QUGQMV","18.07.2022","Amended claims with annotations","Search / examination","5"
"EP10007106","L5QHBAFG2THMAZF","18.07.2022","Amended claims with annotations","Search / examination","4"
"EP10007106","L5QHBGQ3ELT62MD","18.07.2022","Amended claims with annotations","Search / examination","5"
"EP10007106","L5QHBCPY1DQTOTZ","18.07.2022","Claims","Search / examination","4"
"EP10007106","L5QHBB66XEFYP6G","18.07.2022","Claims","Search / examination","4"
"EP10007106","L5QHBFPZ1QR59YH","18.07.2022","Claims","Search / examination","5"
"EP10007106","L5QHBE5Q1RF500D","18.07.2022","Claims","Search / examination","4"
"EP10007106","L5QHB8BAHX06FQV","18.07.2022","Claims","Search / examination","4"
"EP10007106","L5QHBHEFNOYJZD7","18.07.2022","Claims","Search / examination","5"
"EP10007106","L5QHB9O81GSSV34","18.07.2022","Claims","Search / examination","4"
"EP10007106","L5QHB4F07SQBNTQ","18.07.2022","Letter accompanying subsequently filed items","Search / examination","2"
"EP10007106","L5QHB4W3ZMEHRNJ","18.07.2022","Written submission in preparation to/during oral proceedings","Search / examination","36"
"EP10007106","KUQJ7WOKXB6BQNL","14.10.2021","(Electronic) Receipt","Search / examination","1"
"EP10007106","KUQJTDTO1V8NX5N","14.10.2021","Advice of delivery","Search / examination","1"
"EP10007106","KUQJ7TKAMT3I7DH","14.10.2021","Letter accompanying subsequently filed items","Search / examination","1"
"EP10007106","KUQJ7UHK60KVEK3","14.10.2021","Oral proceedings: reply to date proposed","Search / examination","2"
"EP10007106","KU8C7PYA1QNU8Q4","06.10.2021","Acknowledgement of a document","Search / examination","1"
"EP10007106","KU8C7RP51UGOFVL","06.10.2021","Annex to the communication","Search / examination","6"
"EP10007106","KU8C7QQFXNXH1C7","06.10.2021","Summons to attend oral proceedings","Search / examination","2"
"EP10007106","E5ARWW765102DSU","21.09.2020","(Electronic) Receipt","Search / examination","1"
"EP10007106","E5ARWW1Q0120DSU","21.09.2020","Amended description with annotations","Search / examination","3"
"EP10007106","E5ARWW3U4417DSU","21.09.2020","Description","Search / examination","3"
"EP10007106","E5ARWWU22008DSU","21.09.2020","Letter accompanying subsequently filed items","Search / examination","1"
"EP10007106","E5ARWWWF9215DSU","21.09.2020","Reply to communication from the Examining Division","Search / examination","11"
"EP10007106","E4Y2R56T2329DSU","06.07.2020","Annex to the communication","Search / examination","5"
"EP10007106","E4Y2R5477673DSU","06.07.2020","Communication from the Examining Division","Search / examination","2"
"EP10007106","E4OXFB432043709","17.04.2020","Advice of delivery","Appeal","1"
"EP10007106","E4O3GE988405754","17.04.2020","Advice of delivery","Appeal","2"
"EP10007106","E4MSTJ703229DSU","09.04.2020","Decision of the Board of Appeal","Appeal","17"
"EP10007106","E4O608XX5566969","09.04.2020","Decision of the Board of Appeal","Search / examination","17"
"EP10007106","E4MSMAWX2343136","09.04.2020","F3017 Oral Proceedings: Notification of cancellation/postponing","Appeal","2"
"EP10007106","E4MSTVXO6186136","09.04.2020","F3032 Notification(s) of the decision","Appeal","19"
"EP10007106","E4O608X64048969","09.04.2020","F3032 Notification(s) of the decision","Search / examination","19"
"EP10007106","E4MSLMUM8160DSU","06.04.2020","F3014 Oral Proceedings: Order cancelling/postponing","Appeal","1"
"EP10007106","E4BXBNY29561232","20.01.2020","Letter dealing with oral proceedings during the appeal procedure","Appeal","1"
"EP10007106","E36200ED6099DSU","20.12.2019","F3305 Communication of the Board of Appeal (ex parte/ inter partes)","Appeal","4"
"EP10007106","E3X69FA32698936","14.10.2019","Advice of delivery","Appeal","2"
"EP10007106","E3X15Y0N7626192","11.10.2019","Advice of delivery","Appeal","1"
"EP10007106","E3WC659J8882DSU","09.10.2019","F3011.1 Oral Proceedings: summons","Appeal","2"
"EP10007106","E3V1XU401884DSU","07.10.2019","F3057 Communication: Change of responsibility of a Board of Appeal","Appeal","1"
"EP10007106","E3WC61397781DSU","04.10.2019","F3010 Oral proceedings: order for summons","Appeal","1"
"EP10007106","E3V1ZLRX4428DSU","02.10.2019","Composition of the board (T)","Appeal","1"
"EP10007106","E0Y1ONT86374DSU","02.10.2017","F3004 Communication of the Registry","Appeal","2"
"EP10007106","E0YWD2ZV9373DSU","26.09.2017","(Electronic) Receipt","Appeal","1"
"EP10007106","E0YWD2WZ1078DSU","26.09.2017","Enquiry as to the processing of the file","Appeal","1"
"EP10007106","E0YWD2UC4274DSU","26.09.2017","Letter accompanying subsequently filed items","Appeal","1"
"EP10007106","EXXQBR3I1778FI4","24.08.2015","Composition of the board (T)","Appeal","1"
"EP10007106","EXOAAFJ72885192","16.06.2015","Advice of delivery","Appeal","1"
"EP10007106","EXM121CQ5202FI4","15.06.2015","F3204 Communication of the file number to the parties","Appeal","1"
"EP10007106","EXMQ0JRU5498856","03.06.2015","Processing of an appeal","Appeal","2"
"EP10007106","EXKANY3S2781754","21.05.2015","Payment of fees and costs","Appeal","1"
"EP10007106","EXJBNQ2M1136235","13.05.2015","Amended claims with annotations","Appeal","4"
"EP10007106","EXJPI9208846235","13.05.2015","Amended claims with annotations","Appeal","4"
"EP10007106","EXJBNQ2L2282235","13.05.2015","Claims","Appeal","4"
"EP10007106","EXJPI92Z9421235","13.05.2015","Claims","Appeal","4"
"EP10007106","EXJPI92U3672235","13.05.2015","Notice of appeal","Appeal","2"
"EP10007106","EXJBNQ2F3001235","13.05.2015","Statement of grounds of appeal","Appeal","7"
"EP10007106","EXDVTK6A1809235","02.04.2015","Advice of delivery","Search / examination","1"
"EP10007106","EXDUFIGI8228235","01.04.2015","Advice of delivery","Search / examination","1"
"EP10007106","EXB5F6KA6644191","31.03.2015","Acknowledgement of a document","Search / examination","1"
"EP10007106","EXB5F77F6614FI4","31.03.2015","Decision to refuse according to the state of the file","Search / examination","2"
"EP10007106","EXB5F8E79297FI4","31.03.2015","Decision to refuse the application (Examining Division)","Search / examination","1"
"EP10007106","EXB5F8BG5035FI4","31.03.2015","Means of redress","Search / examination","2"
"EP10007106","EW050UDS3491936","02.01.2015","Reply to communication from the Examining Division","Search / examination","1"
"EP10007106","EWJBHAHZ9597FI4","10.09.2014","Annex to the communication","Search / examination","4"
"EP10007106","EWJBHAD63477FI4","10.09.2014","Communication from the Examining Division","Search / examination","2"
"EP10007106","EWIV83TT7240FI4","02.09.2014","Examination started","Search / examination","1"
"EP10007106","EVO03JGX8698171","04.02.2014","Submission concerning representation","Search / examination","2"
"EP10007106","EVNAT1H62373171","13.12.2013","Submission concerning representation","Search / examination","1"
"EP10007106","EU5PUVBL8096235","20.09.2013","Enquiry as to when a communication from the Examining Division can be expected","Search / examination","1"
"EP10007106","ERU8QK3K4157754","14.06.2011","Amended claims filed after receipt of (European) search report","Search / examination","4"
"EP10007106","ERU8QK3K8865754","14.06.2011","Amended claims with annotations","Search / examination","6"
"EP10007106","ERU8QK3J8968754","14.06.2011","Amendments received before examination","Search / examination","8"
"EP10007106","ERU8QIBS6051754","14.06.2011","Letter concerning fees and payments","Search / examination","1"
"EP10007106","ERHNO2S57856FI4","17.03.2011","Communication of the registration of a transfer or change of name and/or address","Search / examination","1"
"EP10007106","ERHOADJF2791171","04.03.2011","Submission concerning a transfer of rights (applicant)","Search / examination","18"
"EP10007106","EQ8WCLT35098FI4","17.01.2011","Reminder period for payment of examination fee/designation fee and correction of deficiencies in Written Opinion/amendment","Search / examination","2"
"EP10007106","EQ37I9CZ2548FI4","15.12.2010","Notification of forthcoming publication","Search / examination","1"
"EP10007106","EQW6VYH49915FI4","27.10.2010","Communication regarding the transmission of the European search report","Search / examination","1"
"EP10007106","EQW7BQVL3013FI4","27.10.2010","European search opinion","Search / examination","2"
"EP10007106","EQW7B7PE3237FI4","27.10.2010","European search report","Search / examination","1"
"EP10007106","EQWZCB277157FI4","25.10.2010","Invitation to indicate correct address of inventor","Search / examination","1"
"EP10007106","EQSAU2XH9886FI4","22.09.2010","Confirmation of receipt of (electronically) transmitted priority document","Search / examination","1"
"EP10007106","EQQ8D1NJ9662FI4","10.09.2010","Priority document (electronically transmitted)","Search / examination","16"
"EP10007106","EQQ8DNQJ5066FI4","10.09.2010","Priority document (electronically transmitted)","Search / examination","26"
"EP10007106","EQJUJ36S6189235","09.07.2010","Abstract","Search / examination","1"
"EP10007106","EQJUJ36S1171235","09.07.2010","Claims","Search / examination","7"
"EP10007106","EQJUJ36R5910235","09.07.2010","Description","Search / examination","26"
"EP10007106","EQJUJ36R0134235","09.07.2010","Designation of inventor","Search / examination","1"
"EP10007106","EQJUJ36T1286235","09.07.2010","Drawings","Search / examination","8"
"EP10007106","EQJUJ36O8660235","09.07.2010","Request for grant of a European patent","Search / examination","8"
