"applicationNumber","documentId","date","title","phase","pages"
"EP94912949","EMH8FRFE4200915","09.10.2007","F3032 Notification(s) of the decision","Appeal","3"
"EP94912949","EMH8FREW6717915","01.10.2007","Cover page: Decision (ex parte)","Appeal","2"
"EP94912949","EL8AMF5E9217FI4","01.08.2007","Refund of fees","Search / examination","1"
"EP94912949","ELZ27WIA0970432","31.05.2007","Closing of application","Search / examination","2"
"EP94912949","ELY3I2D66155915","25.05.2007","F3032 Notification(s) of the decision","Appeal","44"
"EP94912949","EK72VCCU2987804","20.11.2006","F3013 Oral Proceedings: Forwarding minutes","Appeal","12"
"EP94912949","ELY3H38C1767915","15.11.2006","Cover page: Decision (ex parte)","Appeal","41"
"EP94912949","EK7RFQOE6733J10","11.11.2006","Letter dealing with oral proceedings during the appeal procedure","Appeal","1"
"EP94912949","EK6XX1EB3991FI4","08.11.2006","Fax relating to Appeal procedure","Appeal","2"
"EP94912949","EK61DFNO2854J12","07.11.2006","Letter dealing with oral proceedings during the appeal procedure","Appeal","35"
"EP94912949","EK56L40H5576837","02.11.2006","Fax relating to Appeal procedure","Appeal","36"
"EP94912949","EK51MXUX6705FI4","01.11.2006","Fax relating to Appeal procedure","Appeal","36"
"EP94912949","EK5NBXC14880J11","27.10.2006","Letter dealing with oral proceedings during the appeal procedure","Appeal","1"
"EP94912949","EK5L7G754069976","26.10.2006","F3039 Attendance note about a phone conversation and continuation sheet","Appeal","1"
"EP94912949","EK47E9H99580J12","26.10.2006","Letter dealing with oral proceedings during the appeal procedure","Appeal","1"
"EP94912949","EK37F27V0748681","25.10.2006","Communication  concerning the filing of a power of attorney","Appeal","1"
"EP94912949","EK37FRKB8802FI4","25.10.2006","Communication of amended entries concerning the representative","Appeal","1"
"EP94912949","EK4XSKU88529FI4","25.10.2006","Fax relating to Appeal procedure","Appeal","2"
"EP94912949","EK4SW17U0870FI4","24.10.2006","Request for change of representative","Appeal","1"
"EP94912949","EK3WB94S2870J12","17.10.2006","Request for change of representative","Appeal","1"
"EP94912949","EKZQZ3E25083J12","15.09.2006","Letter dealing with oral proceedings during the appeal procedure","Appeal","1"
"EP94912949","EKSWDBQE1085323","31.07.2006","Advice of delivery","Appeal","1"
"EP94912949","EKRMF3P61746837","26.07.2006","F3011.1 Oral Proceedings: summons","Appeal","7"
"EP94912949","EKRMF3PM0439837","21.07.2006","F3010 Oral proceedings: order for summons","Appeal","1"
"EP94912949","EKH6Z48F7167837","19.05.2006","F3303.16 Change of composition of the Board (T)","Appeal","1"
"EP94912949","EIL1ZDOP5270098","31.01.2005","Communication (no form)","Appeal","1"
"EP94912949","EIKLSPN17057J10","14.01.2005","Letter relating to Appeal Procedure","Appeal","1"
"EP94912949","EHFRF6DADS22940","03.04.2004","Composition of the board (except 325, 337 and 341)","Appeal","1"
"EP94912949","EHA1ZE9AMK21098","08.03.2004","Communication to appellant regarding the appeal number (ex parte)","Appeal","1"
"EP94912949","EG6QTK6HBA23348","28.01.2004","Processing of an appeal","Appeal","1"
"EP94912949","EG3WBVWOMNPHJ14","13.01.2004","Statement of grounds of appeal","Appeal","15"
"EP94912949","EG3U8SJAMNPHJ14","12.01.2004","Statement of grounds of appeal","Appeal","15"
"EP94912949","EG3P9VCNMNPHJ04","12.01.2004","Statement of grounds of appeal","Appeal","16"
"EP94912949","EGRQWD9RMNPHJ24","17.10.2003","Letter accompanying subsequently filed items","Appeal","1"
"EP94912949","EGRQWD9EMNPHJ24","17.10.2003","Notice of appeal","Appeal","2"
"EP94912949","EGLVDAELMNPHJ24","04.09.2003","Advice of delivery","Search / examination","2"
"EP94912949","EGLU82WRMNPHJ24","03.09.2003","Acknowledgement of a document","Search / examination","2"
"EP94912949","EGJQ4J8JDHEPLEI","01.09.2003","Annex to a communication","Search / examination","7"
"EP94912949","EGJQ4LQ5DHEPLEI","01.09.2003","Annex to the communication","Search / examination","5"
"EP94912949","EGJQ4JY6DHEPLEI","01.09.2003","Decision to refuse the application (examining division)","Search / examination","2"
"EP94912949","EGJQ4J2XDHEPLEI","01.09.2003","Grounds for the decision (Annex)","Search / examination","17"
"EP94912949","EGJQ4J54DHEPLEI","01.09.2003","Means of redress","Search / examination","1"
"EP94912949","EGJQ4LS3DHEPLEI","01.09.2003","Minutes of the oral proceedings (examining division)","Search / examination","1"
"EP94912949","EGJQ4LPJDHEPLEI","01.09.2003","Minutes of the oral proceedings (examining division)","Search / examination","1"
"EP94912949","EGJQ4LL5DHEPLEI","01.09.2003","Provision of a copy of the minutes of oral proceedings","Search / examination","1"
"EP94912949","EG6QTURLBA23348","24.07.2003","Decision to refuse the application (Examining Division)","Search / examination","1"
"EP94912949","EGJQ68XQBA23348","24.07.2003","Decision to refuse the application (Examining Division)","Search / examination","1"
"EP94912949","EF854J2PMNPHJ09","12.06.2003","Claims","Search / examination","1"
"EP94912949","EF854J2JMNPHJ09","12.06.2003","Written submission in preparation to/during oral proceedings","Search / examination","11"
"EP94912949","EF45U8YTMNPHX65","15.05.2003","Written submission in preparation to/during oral proceedings","Search / examination","1"
"EP94912949","EFY0AEXFMNF2061","02.04.2003","Advice of delivery","Search / examination","1"
"EP94912949","EFYZ3P3VMNF2061","01.04.2003","Acknowledgement of a document","Search / examination","1"
"EP94912949","EFXQWNRIBA23348","31.03.2003","Annex to the communication","Search / examination","12"
"EP94912949","EFXQS0W7BA23348","31.03.2003","Summons to attend oral proceedings","Search / examination","1"
"EP94912949","EC2OYL6RMNF2091","30.03.2001","Description","Search / examination","2"
"EP94912949","EC2OYL5PMNF2091","30.03.2001","Reply to communication from the Examining Division","Search / examination","4"
"EP94912949","ECU0LEB2HS21032","13.02.2001","Grant of extension of time limit (examination procedure)","Search / examination","1"
"EP94912949","ECUPVO16MNPHX38","29.01.2001","Request for extension of time limit to communication from the Examining Division","Search / examination","1"
"EP94912949","ECJOVHP8Z9CTD10","29.09.2000","Communication from the Examining Division","Search / examination","8"
"EP94912949","ECJOVG9CZ9CTD10","18.06.1999","Claims","Search / examination","7"
"EP94912949","ECJOVG42Z9CTD10","18.06.1999","Description","Search / examination","10"
"EP94912949","ECJOVG0UZ9CTD10","18.06.1999","Reply to communication from the Examining Division","Search / examination","3"
"EP94912949","ECJOVGSFZ9CTD10","16.04.1999","Grant of extension of time limit (examination procedure)","Search / examination","1"
"EP94912949","ECJOVGGIZ9CTD10","08.04.1999","Request for extension of time limit to communication from the Examining Division","Search / examination","1"
"EP94912949","ECJOVF2ZZ9CTD10","09.12.1998","Communication from the Examining Division","Search / examination","5"
"EP94912949","ECJOVFL1Z9CTD10","24.09.1997","Amendments received before examination","Search / examination","1"
"EP94912949","ECJOVFP7Z9CTD10","24.09.1997","Claims","Search / examination","10"
"EP94912949","ECJOVFUEZ9CTD10","24.09.1997","Drawings","Search / examination","2"
"EP94912949","ECJOVFDJZ9CTD10","11.07.1997","Maintenance of the application","Search / examination","1"
"EP94912949","ECJOVE4YZ9CTD10","21.05.1997","Invitation to declare maintenance of the application and to correct deficiencies in the Written Opinion/amend application","Search / examination","1"
"EP94912949","ECJOVEQOZ9CTD10","23.04.1997","Communication regarding the transmission of the European search report","Search / examination","1"
"EP94912949","ECJOVEU7Z9CTD10","23.04.1997","Supplementary European search report","Search / examination","17"
"EP94912949","ECJOVEB6Z9CTD10","29.03.1996","Matter concerning the application","Search / examination","1"
"EP94912949","ECJOVD32Z9CTD10","29.12.1995","Notification on forthcoming publication of bibliographic data","Search / examination","1"
"EP94912949","ECJOVDNEZ9CTD10","03.11.1995","Annex","Search / examination","46"
"EP94912949","ECJOVDIEZ9CTD10","03.11.1995","Designation of inventor","Search / examination","1"
"EP94912949","ECJY465MZ9CTD10","03.11.1995","Drawings","Search / examination","8"
"EP94912949","ECJOVDDQZ9CTD10","03.11.1995","Letter accompanying subsequently filed items","Search / examination","1"
"EP94912949","ECJOVC8VZ9CTD10","03.11.1995","Request for entry into the European phase","Search / examination","6"
"EP94912949","ECJOVCUGZ9CTD10","27.10.1995","Brief communication to applicant/representative","Search / examination","1"
"EP94912949","ECJOVCPMZ9CTD10","27.10.1995","Demand for preliminary examination received in time (21-months time limit no longer applicable)","Search / examination","1"
"EP94912949","ECJOVCZKZ9CTD10","27.10.1995","Demand for preliminary examination received in time (21-months time limit no longer applicable)","Search / examination","1"
"EP94912949","ECJOVB90Z9CTD10","24.10.1995","Matter concerning the application","Search / examination","2"
"EP94912949","ECJOVCF5Z9CTD10","24.10.1995","Matter concerning the application","Search / examination","2"
"EP94912949","ECJOVBQOZ9CTD10","05.10.1995","Note on telephone consultation","Search / examination","1"
"EP94912949","ECJOVA3AZ9CTD10","04.10.1995","Note on telephone consultation","Search / examination","1"
"EP94912949","ECJOVATBZ9CTD10","02.08.1995","Application deemed to be withdrawn (non-payment of filling/search fee)","Search / examination","1"
"EP94912949","ECJOVAE1Z9CTD10","26.05.1995","Invitation to pay fees for entry into European phase","Search / examination","1"
"EP94912949","ECJOVAJGZ9CTD10","26.05.1995","Invitation to pay fees for entry into European phase","Search / examination","1"
