app|claim1|c1chars|ntargets|mk|npa|src_docs|src_chars|dims|agg|ph
EP01947898|0|0|0|3|3|0|0|5/5|50|1
EP03794659|0|0|0|0|0|0|0|5/5|50|0
EP05768893|0|0|0|3|7|0|0|5/5|50|1
EP06126066|0|0|0|3|7|0|0|5/5|50|0
EP06847293|0|0|0|0|0|0|0|5/5|50|0
EP07758640|0|0|0|0|8|0|0|5/5|50|0
EP07812123|0|0|0|0|9|0|0|5/5|50|0
EP07821517|0|0|0|0|6|0|0|5/5|50|0
EP07870156|0|0|0|0|1|0|0|5/5|50|0
EP08720044|0|0|0|0|6|0|0|5/5|50|0
EP08848526|0|0|0|0|1|0|0|5/5|50|0
EP08878030|0|0|0|0|6|0|0|5/5|55|0
EP09075393|0|0|0|1|1|0|0|5/5|50|0
EP09715619|0|0|0|0|4|0|0|5/5|50|0
EP09771102|0|0|0|3|20|0|0|5/5|55|0
EP09791584|0|0|0|0|4|0|0|5/5|50|0
EP10713522|0|0|0|0|4|0|0|5/5|50|0
EP10724881|0|0|0|2|4|0|0|5/5|65|0
EP10751067|0|0|0|0|3|0|0|5/5|50|0
EP10840257|0|0|0|0|6|0|0|5/5|50|0
EP11813107|0|0|0|0|11|0|0|5/5|60|2
EP11841996|0|0|0|0|7|0|0|5/5|50|0
EP11866737|0|0|0|3|0|0|0|5/5|50|1
EP12172842|0|0|0|1|4|0|0|5/5|50|0
EP12183659|0|0|0|0|1|0|0|5/5|50|0
EP12710797|0|0|0|3|4|0|0|5/5|50|0
EP12854214|0|0|0|0|2|0|0|5/5|50|0
EP13174939|0|0|0|3|0|0|0|5/5|50|0
EP13189059|0|0|0|0|6|0|0|5/5|50|0
EP13729859|0|0|0|3|1|0|0|5/5|50|0
EP13735942|0|0|0|0|1|0|0|5/5|50|0
EP13739866|0|0|0|0|10|0|0|5/5|50|0
EP13790527|0|0|0|3|10|0|0|5/5|55|0
EP13799943|0|0|0|0|9|0|0|5/5|50|0
EP13800676|0|0|0|0|8|0|0|5/5|55|0
EP13812430|0|0|0|0|2|0|0|5/5|50|0
EP13814848|0|0|0|0|5|0|0|5/5|50|0
EP13821520|0|0|0|3|1|0|0|5/5|50|0
EP13823078|0|0|0|0|7|0|0|5/5|50|0
EP13824232|0|0|0|0|0|0|0|5/5|65|0
EP13825373|0|0|0|0|6|0|0|5/5|50|0
EP13852049|0|0|0|0|4|0|0|5/5|50|0
EP13856353|0|0|0|0|12|0|0|5/5|50|0
EP14188820|0|0|0|0|1|0|0|5/5|50|0
EP14189064|0|0|0|0|1|0|0|5/5|50|0
EP14712913|0|0|0|3|5|0|0|5/5|50|0
EP14716493|0|0|0|0|3|0|0|5/5|50|0
EP14770497|0|0|0|0|9|0|0|5/5|50|0
EP14779403|0|0|0|0|4|0|0|5/5|50|0
EP14790694|0|0|0|0|6|0|0|5/5|50|0
EP14796327|0|0|0|3|1|0|0|5/5|50|0
EP14800797|0|0|0|0|5|0|0|5/5|50|0
EP14809384|0|0|0|0|1|0|0|5/5|50|0
EP14828608|0|0|0|0|7|0|0|5/5|50|0
EP14851657|0|0|0|3|5|0|0|5/5|50|0
EP14865441|0|0|0|3|2|0|0|5/5|50|0
EP14872734|0|0|0|0|7|0|0|5/5|60|0
EP14875963|0|0|0|0|2|0|0|5/5|50|0
EP14877308|0|0|0|0|16|0|0|5/5|50|0
EP15156565|0|0|0|3|3|0|0|5/5|50|0
EP15160267|0|0|0|3|4|0|0|5/5|50|0
EP15166498|0|0|0|0|4|0|0|5/5|50|0
EP15708045|0|0|0|3|5|0|0|5/5|50|0
EP15720314|0|0|0|3|3|0|0|5/5|50|0
EP15744949|0|0|0|3|1|0|0|5/5|50|0
EP15757753|0|0|0|0|3|0|0|5/5|50|0
EP15759548|0|0|0|0|4|0|0|5/5|50|0
EP15764606|0|0|0|0|7|0|0|5/5|50|0
EP15771420|0|0|0|0|6|0|0|5/5|50|0
EP15772137|0|0|0|0|5|0|0|5/5|50|0
EP15775307|0|0|0|0|8|0|0|5/5|50|0
EP15779819|0|0|0|0|20|0|0|5/5|50|0
EP15799685|0|0|0|0|5|0|0|5/5|58|0
EP15799980|0|0|0|3|6|0|0|5/5|50|0
EP15821075|0|0|0|0|2|0|0|5/5|50|0
EP15823249|0|0|0|0|3|0|0|5/5|70|0
EP16178441|0|0|0|3|4|0|0|5/5|50|0
EP16178896|0|0|0|0|1|0|0|5/5|50|0
EP16204704|0|0|0|3|3|0|0|5/5|50|0
EP16701631|0|0|0|0|4|0|0|5/5|50|0
EP16713784|0|0|0|0|2|0|0|5/5|50|0
EP16718802|0|0|0|0|3|0|0|5/5|50|0
EP16729515|0|0|0|3|1|0|0|5/5|50|0
EP16733783|0|0|0|0|0|0|0|5/5|50|0
EP16734637|0|0|0|3|2|0|0|5/5|50|0
EP16736218|0|0|0|3|2|0|0|5/5|50|0
EP16737879|0|0|0|0|8|0|0|5/5|50|0
EP16751821|0|0|0|3|6|0|0|5/5|50|0
EP16757498|0|0|0|0|0|0|0|5/5|50|0
EP16757858|0|0|0|0|0|0|0|5/5|55|0
EP16771410|0|0|0|0|4|0|0|5/5|55|0
EP16780682|0|0|0|0|7|0|0|5/5|50|0
EP16808876|0|0|0|3|2|0|0|5/5|50|0
EP16815285|0|0|0|0|6|0|0|5/5|50|0
EP16825084|0|0|0|0|5|0|0|5/5|50|0
EP16826961|0|0|0|0|2|0|0|5/5|50|0
EP16838548|0|0|0|1|3|0|0|5/5|50|0
EP16846486|0|0|0|1|10|0|0|5/5|50|0
EP16856195|0|0|0|3|9|0|0|5/5|50|0
EP17158350|0|0|0|3|1|0|0|5/5|50|0
EP17162030|0|0|0|0|3|0|0|5/5|50|0
EP17187293|0|0|0|0|2|0|0|5/5|50|0
EP17191704|0|0|0|3|2|0|0|5/5|50|0
EP17703587|0|0|0|0|2|0|0|5/5|50|0
EP17705416|0|0|0|3|7|0|0|5/5|50|0
EP17706570|0|0|0|3|1|0|0|5/5|50|0
