app|pdfs|txts|total_txt|claims_txt|big_txt|mk_cand
EP10713522|46|46|55110|77|8|751
EP13821520|38|38|49544|687|10|225
EP09771102|39|39|45275|1107|17|885
EP16733783|30|30|41918|147|8|45
EP13812430|32|32|28893|5300|9|779
EP14188820|33|33|27271|55|8|605
EP15759548|59|59|27113|123|10|486
EP14872734|32|32|26673|135|5|107
EP18826609|37|37|26002|471|5|206
EP14828608|32|32|25016|471|6|40
EP18799977|20|20|24044|807|5|521
EP13729859|27|27|21751|327|5|246
EP17826643|21|21|21639|531|5|155
EP21758144|22|22|20047|88|5|197
EP15720314|18|18|19908|207|6|506
EP16751821|55|55|19514|543|4|675
EP16736218|25|25|18950|327|7|305
EP23162059|8|8|18784|1400|6|86
EP18743416|23|23|17070|267|4|206
EP15757753|46|46|16885|66|8|194
EP18755728|27|27|16601|471|5|270
EP19175124|7|7|16476|22|3|5
EP18727044|26|26|15403|88|9|146
EP17710372|23|23|14732|135|6|387
EP16815285|23|23|14722|44|6|239
EP18796243|17|17|14665|423|3|548
EP14796327|21|21|14574|88|5|245
EP17710371|23|23|14154|147|6|244
EP21173787|23|23|14095|33|4|94
EP17710373|23|23|13996|135|6|323
EP15823249|29|29|13646|66|6|74
EP23174717|20|20|13009|111|6|249
EP18741256|18|18|12958|219|4|59
EP17162030|40|40|12758|44|4|370
EP17705416|34|34|12645|411|6|646
EP07758640|28|28|12498|147|4|467
EP16729515|40|40|12428|219|4|185
EP15775307|21|21|12195|123|3|83
EP20159174|9|9|11752|44|3|192
EP13790527|37|37|11715|231|7|164
EP10751067|28|28|11095|291|6|228
EP17821262|28|28|11056|123|9|453
EP15156565|11|11|10890|111|5|534
EP16734637|21|21|10467|171|4|144
EP21717912|17|17|10350|99|5|455
EP13735942|30|30|10298|231|4|998
EP13814848|22|22|10198|171|6|866
EP05768893|8|8|9988|159|2|581
EP16713784|20|20|9915|77|5|311
EP18769382|16|16|9455|171|5|485
EP12710797|18|18|9432|279|5|667
EP21855613|27|27|9420|99|7|768
EP12183659|18|18|9379|44|4|91
EP08878030|51|51|9300|44|5|573
EP18723960|40|40|9137|88|7|254
EP15772137|45|45|8867|66|7|647
EP09715619|22|22|8851|231|4|135
EP14877308|24|24|8849|99|5|435
EP13824232|82|82|8737|495|4|608
EP16737879|27|27|8587|55|4|107
EP17727331|20|20|8370|44|6|134
EP07870156|8|8|8062|135|1|0
EP13823078|13|13|7971|99|3|1059
EP14770497|20|20|7768|33|4|518
EP14716493|27|27|7759|77|5|26
EP16204704|14|14|7754|33|4|210
EP18747587|17|17|7635|44|5|23
EP21852332|19|19|7632|591|1|928
EP17816799|23|23|7621|55|5|289
EP18857581|11|11|7559|195|1|0
EP12854214|28|28|7539|55|5|94
EP22757665|26|26|7466|255|5|150
EP18724754|25|25|7340|88|6|205
EP14875963|19|19|7327|66|4|90
EP25199578|3|3|7316|33|1|114
EP16856195|32|32|7234|135|5|609
EP16757858|22|22|7182|111|6|714
EP13852049|28|28|7042|207|4|632
EP15771420|46|46|6870|66|5|703
EP22728228|11|11|6789|123|4|260
EP21887290|9|9|6744|459|1|0
EP19768264|6|6|6576|807|2|0
EP19187141|15|15|6403|543|1|691
EP16718802|24|24|6384|77|5|107
EP01947898|6|6|6196|111|2|349
EP19170042|15|15|6178|33|3|115
EP14809384|31|31|6155|44|5|499
EP15764606|24|24|6091|44|5|205
EP15799980|17|17|5984|135|4|708
EP20183978|12|12|5957|33|5|79
EP09791584|26|26|5927|183|3|138
EP15744949|17|17|5707|44|4|79
EP14712913|25|25|5656|231|4|105
EP14779403|23|23|5599|111|3|306
EP16780682|20|20|5369|44|4|108
EP16846486|26|26|5309|33|4|482
EP16825084|25|25|5298|33|4|153
EP24194407|7|7|5286|159|1|672
EP26158881|3|3|5152|66|1|717
EP18769933|39|39|5096|88|3|265
EP16808876|18|18|5088|99|0|133
EP20207188|14|14|5082|44|2|52
EP19721945|20|20|5040|123|3|646
EP24194030|5|5|5026|55|1|326
EP19823565|10|10|4978|339|2|0
EP21715726|17|17|4954|147|3|251
EP22860505|7|7|4952|855|2|414
EP21728705|13|13|4950|183|2|380
EP13856353|21|21|4910|111|2|84
EP22894936|8|8|4865|447|1|624
EP18806938|30|30|4823|88|0|438
EP16757498|20|20|4802|33|3|176
EP11841996|13|13|4687|231|3|0
EP17158350|9|9|4675|33|3|122
EP17187293|9|9|4609|33|3|34
EP15166498|25|25|4596|22|4|364
EP17796865|26|26|4567|159|1|143
EP17744987|16|16|4540|207|4|56
EP11813107|30|30|4522|111|3|42
EP19913097|20|20|4472|243|2|1265
EP21771463|9|9|4436|267|1|566
EP13174939|12|12|4378|22|1|445
EP19879421|20|20|4367|171|2|590
EP19877904|21|21|4361|88|3|278
EP15708045|13|13|4295|183|2|187
EP14189064|13|13|4223|33|4|58
EP14800797|8|8|4223|519|1|0
EP07821517|30|30|4124|55|3|88
EP21835114|13|13|4091|255|1|15
EP14865441|28|28|4071|66|1|492
EP10724881|25|25|3991|22|0|379
EP18182643|11|11|3937|22|1|15
EP21182413|7|7|3807|33|3|146
EP18805890|19|19|3802|55|3|481
EP15821075|22|22|3788|22|0|477
EP21766969|5|5|3648|0|1|0
EP24159602|4|4|3594|44|1|133
EP16826961|22|22|3593|183|1|390
EP15779819|20|20|3548|33|0|480
EP17703587|17|17|3525|195|2|134
EP16838548|17|17|3513|99|3|17
EP18883841|8|8|3324|231|1|0
EP22712921|6|6|3283|77|2|718
EP24203177|10|10|3275|77|1|264
EP13800676|24|24|3112|44|0|110
EP23709924|10|10|3081|66|0|114
EP17854887|19|19|3054|123|1|148
EP16771410|23|23|3029|55|0|136
EP17884516|10|10|2982|183|1|620
EP22875187|13|13|2921|159|2|878
EP19721230|15|15|2879|44|0|87
EP22795717|10|10|2779|255|1|961
EP13799943|18|18|2708|55|2|21
EP21825566|12|12|2685|44|1|0
EP17191704|13|13|2666|135|1|141
EP03794659|20|20|2585|99|2|136
EP22869437|10|10|2551|303|1|687
EP18707713|28|28|2532|33|0|73
EP15799685|13|13|2502|55|0|0
EP07812123|7|7|2471|111|1|0
EP23833241|10|10|2375|44|2|361
EP14851657|21|21|2331|66|0|109
EP22919900|8|8|2307|243|1|655
EP24202933|10|10|2269|33|1|307
EP23744625|5|5|2239|111|1|0
EP06847293|42|42|2220|11|0|699
EP19199149|16|16|2193|22|0|240
EP21765099|16|16|2113|77|0|218
EP19877895|9|9|2081|579|0|330
EP16701631|14|14|2077|44|0|123
EP12172842|16|16|2069|44|1|55
EP21764438|12|12|2037|147|1|59
