"applicationNumber","documentId","date","title","phase","pages"
"EP10007106","E4Y2R5477673DSU","06.07.2020","Communication from the Examining Division","Search / examination","2"
"EP10007106","E4Y2R56T2329DSU","06.07.2020","Annex to the communication","Search / examination","5"
"EP10007106","KU8C7RP51UGOFVL","06.10.2021","Annex to the communication","Search / examination","6"
"EP10007106","L8O6G2OM1ATLJVJ","11.10.2022","Communication about intention to grant a European patent","Search / examination","5"
"EP10007106","LBZRCRM3GI6B73J","05.01.2023","Decision to grant a European patent","Search / examination","2"
"EP94912949","ECJOVF2ZZ9CTD10","09.12.1998","Communication from the Examining Division","Search / examination","5"
"EP94912949","ECJOVHP8Z9CTD10","29.09.2000","Communication from the Examining Division","Search / examination","8"
"EP94912949","EFXQWNRIBA23348","25.02.2003","Annex to the communication","Search / examination","12"
"EP94912949","EGJQ4JY6DHEPLEI","01.09.2003","Decision to refuse the application (examining division)","Search / examination","1"
"EP94912949","EGJQ4J2XDHEPLEI","01.09.2003","Grounds for the decision (Annex)","Search / examination","17"
