"applicationNumber","documentId","date","title","phase","pages"
"EP06730370","EUSO5KE65760410","24.06.2013","Closing of application","Search / examination","2"
"EP06730370","EUKR76EW8329FI4","06.05.2013","Notice drawing attention to the payment of the renewal fee and additional fee","Search / examination","2"
"EP06730370","EUCZPMWJ9640410","13.03.2013","Application deemed to be withdrawn ( translations of claims/payment missing)","Search / examination","2"
"EP06730370","ETN98QC00929FI4","24.09.2012","Bibliographic data of the European patent application","Search / examination","2"
"EP06730370","ETN98P865628FI4","24.09.2012","Communication about intention to grant a European patent","Search / examination","5"
"EP06730370","ETN98QNG3983FI4","24.09.2012","Intention to grant (signatures)","Search / examination","1"
"EP06730370","ETN98QGQ8058FI4","24.09.2012","Text intended for grant","Search / examination","146"
"EP06730370","EQ2OKLC93767232","24.11.2010","Amended claims filed after receipt of (European) search report","Search / examination","1"
"EP06730370","EQ2OKLC51522232","24.11.2010","Amendments received before examination","Search / examination","3"
"EP06730370","EQK1Y7HT1100FI4","05.08.2010","Invitation to declare maintenance of the application and to correct deficiencies in the Written Opinion/amend application","Search / examination","1"
"EP06730370","EQIV4SGB2493FI4","19.07.2010","Communication regarding the transmission of the European search report","Search / examination","1"
"EP06730370","EQIWW5JT3776FI4","19.07.2010","European search opinion","Search / examination","2"
"EP06730370","EQIWXUJ52823FI4","19.07.2010","Supplementary European search report","Search / examination","3"
"EP06730370","EM43HUUP1407J04","12.03.2008","Letter concerning the inventor","Search / examination","1"
"EP06730370","EM3N1UOU9665472","10.03.2008","Communication for party to proceedings/third party","Search / examination","1"
"EP06730370","EM4NIW101121J12","05.03.2008","Letter concerning the inventor","Search / examination","1"
"EP06730370","EM1W3UL52577J12","15.02.2008","Letter concerning the inventor","Search / examination","1"
"EP06730370","EMP8SN2D3423J04","27.11.2007","Amended claims filed after receipt of (European) search report","Search / examination","1"
"EP06730370","EMP8SN2B1778J04","27.11.2007","Amendments received before examination","Search / examination","1"
"EP06730370","EMM5V8TP6992FI4","14.11.2007","Notification of forthcoming publication","Search / examination","1"
"EP06730370","EMLSGQL73329960","07.11.2007","Communication regarding possible amendment of claims/payment of claims fees","Search / examination","2"
"EP06730370","EMKN23GR7056FI4","22.10.2007","Copy of the international preliminary report on patentability","Search / examination","6"
"EP06730370","EMKN23GY1225FI4","22.10.2007","Translation of the international preliminary report on patentability","Search / examination","6"
"EP06730370","EMHNJ9BU0928J13","27.09.2007","Abstract","Search / examination","1"
"EP06730370","EMHNJ9BM5884J13","27.09.2007","Annex","Search / examination","4"
"EP06730370","EMHNJ9BT9956J13","27.09.2007","Claims","Search / examination","6"
"EP06730370","EMHNJ9BS9844J13","27.09.2007","Description","Search / examination","138"
"EP06730370","EMHNJ9BN9504J13","27.09.2007","Notification of the recording of a change","Search / examination","1"
"EP06730370","EMHNJ9BI6235J13","27.09.2007","Request for entry into the European phase","Search / examination","6"
"EP06730370","EMAP82JH1286FI4","20.08.2007","Information on entry into European phase","Search / examination","3"
"EP06730370","ELFMVF769087FI4","08.01.2007","Priority document (electronically transmitted)","Search / examination","92"
"EP06730370","EK3NQKX22632FI4","12.10.2006","Copy of the international search report","Search / examination","3"
"EP06730370","EK3NQKX00274FI4","12.10.2006","Copy of the translated international search report","Search / examination","3"
"EP06730370","EK3NQKXZ8792FI4","12.10.2006","International publication pamphlet","Search / examination","122"
