"applicationNumber","documentId","date","title","phase","pages"
"EP18885399","LY3JUTFL1DREK8X","05.07.2024","Communication regarding the expiry of opposition period","Search / examination","1"
"EP18885399","LWGDZA7ROLF4ZGR","24.05.2024","Communication of the registration of a transfer or change of name and/or address","Search / examination","2"
"EP18885399","LVP8YAAC1J7CD15","03.05.2024","Indication of deficiencies in a request for registering a transfer of rights and invitation to correct them","Search / examination","3"
"EP18885399","LVC9J9RA18GCKAN","23.04.2024","(Electronic) Receipt","Search / examination","1"
"EP18885399","LVC9J597JHZ56GL","23.04.2024","Annexes in respect of a client data request","Search / examination","44"
"EP18885399","LVC9J4CNMYAIYZI","23.04.2024","Letter accompanying subsequently filed items","Search / examination","1"
"EP18885399","LVC9J4N64WIK2JO","23.04.2024","Submission concerning a transfer of rights (applicant)","Search / examination","3"
"EP18885399","LPAYCFTI1JXR5O8","23.11.2023","(Electronic) Receipt","Search / examination","1"
"EP18885399","LPBILF0Z1SCVCQB","23.11.2023","Letter relating to the request for the automatic debiting procedure","Search / examination","1"
"EP18885399","LPBIJ2C2XQK01SK","23.11.2023","Letter relating to the revocation of the automatic debiting procedure","Search / examination","1"
"EP18885399","LPBF4TQ8PHP3W8H","23.11.2023","Request for change of applicant's representative","Search / examination","1"
"EP18885399","LPAYCGCPYE8TI0H","23.11.2023","Request for change of applicant's representative","Search / examination","1"
"EP18885399","LPAYBXP5D5GWV3M","23.11.2023","Request for change of applicant's representative","Search / examination","1"
"EP18885399","LM57CI5S1W1E4G0","12.09.2023","Transmission of the certificate for a European patent pursuant to Rule 74 EPC","Search / examination","1"
"EP18885399","LKLSH41Q1KTV4Z5","03.08.2023","Decision to grant a European patent","Search / examination","2"
"EP18885399","LI03IEGP1QZ6PO1","23.05.2023","(Electronic) Receipt","Search / examination","1"
"EP18885399","LI03ID2P1WZA3SK","23.05.2023","Filing of the translations of the claims","Search / examination","2"
"EP18885399","LI03IDXR2GGXY1P","23.05.2023","French translation of claims","Search / examination","2"
"EP18885399","LI03IDM8XC0OT31","23.05.2023","German translation of the claims","Search / examination","2"
"EP18885399","LGF9O7UCJGFNHG6","13.04.2023","(Electronic) Receipt","Search / examination","1"
"EP18885399","LGF9O7281RG7KAX","13.04.2023","General authorisation","Search / examination","1"
"EP18885399","LGF9O6ID19KPFU0","13.04.2023","Miscellaneous requests concerning client data","Search / examination","2"
"EP18885399","LESI6YB711SI2PA","09.03.2023","Communication of the registration of a transfer or change of name and/or address","Search / examination","2"
"EP18885399","LESDX3ZL13TZXVY","03.03.2023","Letter accompanying subsequently filed items","Search / examination","1"
"EP18885399","LESDX40P1RQ8NV4","03.03.2023","Submission concerning change of applicant's address","Search / examination","2"
"EP18885399","LDBT970GT1M1C1O","02.02.2023","Annex to the communication about intention to grant a European patent","Search / examination","1"
"EP18885399","LDBT96F01HIR94H","02.02.2023","Bibliographic data of the European patent application","Search / examination","2"
"EP18885399","LDBT95O513PBHXP","02.02.2023","Communication about intention to grant a European patent","Search / examination","5"
"EP18885399","LDBTCL3T1S4ZQS3","02.02.2023","Intention to grant (signatures)","Search / examination","1"
"EP18885399","LDC7KW71G3EWDNB","02.02.2023","Text intended for grant (clean copy)","Search / examination","160"
"EP18885399","LDC7L9GVKE7NZDH","02.02.2023","Text intended for grant (version for approval)","Search / examination","160"
"EP18885399","LCRHBDU5FXCXY4Y","11.01.2023","(Electronic) Receipt","Search / examination","1"
"EP18885399","LCRHBCSQRIF403R","11.01.2023","Letter accompanying subsequently filed items","Search / examination","1"
"EP18885399","LCRHBD4ALBPP60G","11.01.2023","Request for correction/amendment of the text proposed for grant sent from 01.04.2012","Search / examination","2"
"EP18885399","LBCERK3V1GK2AU0","14.12.2022","Annex to the communication about intention to grant a European patent","Search / examination","1"
"EP18885399","LBCERJTI1P51D0Y","14.12.2022","Bibliographic data of the European patent application","Search / examination","2"
"EP18885399","LBCERJEO1626X9F","14.12.2022","Communication about intention to grant a European patent","Search / examination","5"
"EP18885399","LBCESALQ1183VWJ","14.12.2022","Intention to grant (signatures)","Search / examination","1"
"EP18885399","LCYJ2QCLJE0KIPK","14.12.2022","Text intended for grant (clean copy)","Search / examination","160"
"EP18885399","LCYJ33W5Z2ORM3R","14.12.2022","Text intended for grant (version for approval)","Search / examination","160"
"EP18885399","LBCEMMZJ1GM2883","09.12.2022","Brief communication to applicant/representative","Search / examination","1"
"EP18885399","LBC0623FL8RSOMG","09.12.2022","Communication of the registration of a transfer or change of name and/or address","Search / examination","2"
"EP18885399","LAQU7SRFRRCJN3V","29.11.2022","Annex to the communication about intention to grant a European patent","Search / examination","1"
"EP18885399","LAQU7SI21RLVVA4","29.11.2022","Bibliographic data of the European patent application","Search / examination","2"
"EP18885399","LAQU7S2T1VDGRXH","29.11.2022","Communication about intention to grant a European patent","Search / examination","5"
"EP18885399","LAQU8G0FVXP6MUS","29.11.2022","Intention to grant (signatures)","Search / examination","1"
"EP18885399","LARGSARWFACT381","29.11.2022","Text intended for grant (clean copy)","Search / examination","160"
"EP18885399","LARGSP8Y10B9Y24","29.11.2022","Text intended for grant (version for approval)","Search / examination","160"
"EP18885399","LAVA5CTQGPF7X9F","24.11.2022","(Electronic) Receipt","Search / examination","1"
"EP18885399","LAVA5C9K1LPPEDS","24.11.2022","General authorisation","Search / examination","1"
"EP18885399","LAVA5BGSYZRWBTF","24.11.2022","Letter accompanying subsequently filed items (CDR)","Search / examination","1"
"EP18885399","LAVA5BUSGSU92NP","24.11.2022","Submission concerning change of applicant's address","Search / examination","1"
"EP18885399","L7HS6L7E1WHQA3O","31.08.2022","(Electronic) Receipt","Search / examination","1"
"EP18885399","L7HS62AP1B0BW77","31.08.2022","Amended description with annotations","Search / examination","224"
"EP18885399","L7HS5PZXSI7XZFC","31.08.2022","Description","Search / examination","156"
"EP18885399","L7HS5P1F1E4LFID","31.08.2022","Letter accompanying subsequently filed items","Search / examination","1"
"EP18885399","L7HS5PEB1PC4S3P","31.08.2022","Reply to communication from the Examining Division","Search / examination","1"
"EP18885399","L65A5Y3J1A7MR8A","02.08.2022","Annex to the communication","Search / examination","2"
"EP18885399","L65A5Y3HUN7WHSL","02.08.2022","Communication from the Examining Division","Search / examination","2"
"EP18885399","L38RM1VGCOBFSCK","16.05.2022","(Electronic) Receipt","Search / examination","1"
"EP18885399","L38RM01E1VKSCTP","16.05.2022","Letter accompanying subsequently filed items","Search / examination","1"
"EP18885399","L38RM0QX7YO4ZZQ","16.05.2022","Reply to communication from the Examining Division","Search / examination","2"
"EP18885399","L1XWJJV2M0S13JF","20.04.2022","Grant of extension of time limit (examination procedure)","Search / examination","2"
"EP18885399","L1ULZ61VS6QR8MY","11.04.2022","(Electronic) Receipt","Search / examination","1"
"EP18885399","L1ULZ4VE1FXX7YB","11.04.2022","Letter accompanying subsequently filed items","Search / examination","2"
"EP18885399","KX4HWLJYNU2I4NL","16.12.2021","Annex to the communication","Search / examination","5"
"EP18885399","KX4HWL6115NIQBN","16.12.2021","Communication from the Examining Division","Search / examination","2"
"EP18885399","KX03RVXE12ME4FS","10.12.2021","Examination started","Search / examination","1"
"EP18885399","KWDM5TWY9HUMS3D","24.11.2021","(Electronic) Receipt","Search / examination","1"
"EP18885399","KWDM5TBVWUZK2AM","24.11.2021","Amended claims filed after receipt of (European) search report","Search / examination","1"
"EP18885399","KWDM5SZI1G29Y3S","24.11.2021","Amendments received before examination","Search / examination","1"
"EP18885399","KWDM5SLC1B79DFX","24.11.2021","Letter accompanying subsequently filed items","Search / examination","1"
