"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP18712343","LL5RV7HT17OSPIK","18.08.2023","Decision to grant a European patent","Search / examination","2","18-08-2023_Decision_to_grant_a_European_patent_LL5RV7HT17OSPIK.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\18-08-2023_Decision_to_grant_a_European_patent_LL5RV7HT17OSPIK.pdf","https://register.epo.org/application?documentId=LL5RV7HT17OSPIK&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","LFKTH86419T52LQ","31.03.2023","Communication about intention to grant a European patent","Search / examination","5","31-03-2023_Communication_about_intention_to_grant_a_European_patent_LFKTH86419T52LQ.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\31-03-2023_Communication_about_intention_to_grant_a_European_patent_LFKTH86419T52LQ.pdf","https://register.epo.org/application?documentId=LFKTH86419T52LQ&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","LFLR7NGYRN09VWC","31.03.2023","Text intended for grant (clean copy)","Search / examination","118","31-03-2023_Text_intended_for_grant_(clean_copy)_LFLR7NGYRN09VWC.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\31-03-2023_Text_intended_for_grant_(clean_copy)_LFLR7NGYRN09VWC.pdf","https://register.epo.org/application?documentId=LFLR7NGYRN09VWC&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","LFLR7WTFELIMTTV","31.03.2023","Text intended for grant (version for approval)","Search / examination","118","31-03-2023_Text_intended_for_grant_(version_for_approval)_LFLR7WTFELIMTTV.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\31-03-2023_Text_intended_for_grant_(version_for_approval)_LFLR7WTFELIMTTV.pdf","https://register.epo.org/application?documentId=LFLR7WTFELIMTTV&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","KZ2S34131XIRGJ5","31.01.2022","Description","Search / examination","97","31-01-2022_Description_KZ2S34131XIRGJ5.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\31-01-2022_Description_KZ2S34131XIRGJ5.pdf","https://register.epo.org/application?documentId=KZ2S34131XIRGJ5&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","KZ2S33RG179A0ER","31.01.2022","Reply to communication from the Examining Division","Search / examination","1","31-01-2022_Reply_to_communication_from_the_Examining_Division_KZ2S33RG179A0ER.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\31-01-2022_Reply_to_communication_from_the_Examining_Division_KZ2S33RG179A0ER.pdf","https://register.epo.org/application?documentId=KZ2S33RG179A0ER&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","E6P72X4A1242DSU","21.09.2021","Annex to the communication","Search / examination","2","21-09-2021_Annex_to_the_communication_E6P72X4A1242DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\21-09-2021_Annex_to_the_communication_E6P72X4A1242DSU.pdf","https://register.epo.org/application?documentId=E6P72X4A1242DSU&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","E6EXEA4M3006DSU","02.07.2021","Annex to the communication","Search / examination","1","02-07-2021_Annex_to_the_communication_E6EXEA4M3006DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\02-07-2021_Annex_to_the_communication_E6EXEA4M3006DSU.pdf","https://register.epo.org/application?documentId=E6EXEA4M3006DSU&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","E6EXEA1S9370DSU","02.07.2021","Communication from the examining division with an Invitation to pay a search fee(s)","Search / examination","2","02-07-2021_Communication_from_the_examining_division_with_an_Invitation_to_pay_a_search_fee(s)_E6EXEA1S9370DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\02-07-2021_Communication_from_the_examining_division_with_an_Invitation_to_pay_a_search_fee(s)_E6EXEA1S9370DSU.pdf","https://register.epo.org/application?documentId=E6EXEA1S9370DSU&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","E4PS6VI82341DSU","27.04.2020","Amended claims filed after receipt of (European) search report","Search / examination","4","27-04-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E4PS6VI82341DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\27-04-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E4PS6VI82341DSU.pdf","https://register.epo.org/application?documentId=E4PS6VI82341DSU&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","E2C2L1QB0871DSU","07.09.2018","Published international application - A1","Search / examination","148","07-09-2018_Published_international_application_-_A1_E2C2L1QB0871DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\07-09-2018_Published_international_application_-_A1_E2C2L1QB0871DSU.pdf","https://register.epo.org/application?documentId=E2C2L1QB0871DSU&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","E1NQ5OFG6074DSU","19.03.2018","Claims","International Searching Authority","12","19-03-2018_Claims_E1NQ5OFG6074DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\19-03-2018_Claims_E1NQ5OFG6074DSU.pdf","https://register.epo.org/application?documentId=E1NQ5OFG6074DSU&appnumber=EP18712343&showPdfPage=all&proc="
"EP18712343","E1NQ5OFG3137DSU","19.03.2018","Description","International Searching Authority","118","19-03-2018_Description_E1NQ5OFG3137DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\docs\19-03-2018_Description_E1NQ5OFG3137DSU.pdf","https://register.epo.org/application?documentId=E1NQ5OFG3137DSU&appnumber=EP18712343&showPdfPage=all&proc="
