"applicationNumber","documentId","date","title","phase","pages"
"EP18712343","LYJDQFTB1NLJ9YM","17.07.2024","Communication regarding the expiry of opposition period","Search / examination","1"
"EP18712343","LMP9SDUAL75PZ76","26.09.2023","Transmission of the certificate for a European patent pursuant to Rule 74 EPC","Search / examination","1"
"EP18712343","LL5RV7HT17OSPIK","18.08.2023","Decision to grant a European patent","Search / examination","2"
"EP18712343","LKWC9BX21BO4BDO","04.08.2023","(Electronic) Receipt","Search / examination","1"
"EP18712343","LKWC9ATZ1EH44TX","04.08.2023","French translation of claims","Search / examination","4"
"EP18712343","LKWC9BBQ15FPDMQ","04.08.2023","German translation of the claims","Search / examination","4"
"EP18712343","LKWC9AH1Q772OIL","04.08.2023","Letter accompanying subsequently filed items","Search / examination","2"
"EP18712343","LFKTH981Q1X9BM4","31.03.2023","Annex to the communication about intention to grant a European patent","Search / examination","1"
"EP18712343","LFKTH8PQ1FEWXZS","31.03.2023","Bibliographic data of the European patent application","Search / examination","2"
"EP18712343","LFKTH86419T52LQ","31.03.2023","Communication about intention to grant a European patent","Search / examination","5"
"EP18712343","LFKTI4NH1XBA4B9","31.03.2023","Intention to grant (signatures)","Search / examination","1"
"EP18712343","LFLR7NGYRN09VWC","31.03.2023","Text intended for grant (clean copy)","Search / examination","118"
"EP18712343","LFLR7WTFELIMTTV","31.03.2023","Text intended for grant (version for approval)","Search / examination","118"
"EP18712343","L5QKMSW41OKMD0G","21.07.2022","Communication of amended entries concerning the representative","Search / examination","1"
"EP18712343","L5QL4P7E18VLQHM","13.07.2022","Document concerning representation","Search / examination","2"
"EP18712343","L5QL4P4W46BINAA","12.07.2022","Letter accompanying subsequently filed items","Search / examination","1"
"EP18712343","KZ2S3JYB16VD6N3","31.01.2022","(Electronic) Receipt","Search / examination","1"
"EP18712343","KZ2S3ACIW7R756B","31.01.2022","Amended description with annotations","Search / examination","137"
"EP18712343","KZ2S34131XIRGJ5","31.01.2022","Description","Search / examination","97"
"EP18712343","KZ2S339I37QC0NU","31.01.2022","Letter accompanying subsequently filed items","Search / examination","1"
"EP18712343","KZ2S33RG179A0ER","31.01.2022","Reply to communication from the Examining Division","Search / examination","1"
"EP18712343","E6P72X4A1242DSU","21.09.2021","Annex to the communication","Search / examination","2"
"EP18712343","E6P72X073493DSU","21.09.2021","Communication from Examining division including search results r.164(2)(b) EPC","Search / examination","2"
"EP18712343","E6QCBRIC3299DSU","21.09.2021","Information on Search Strategy","Search / examination","1"
"EP18712343","E6QCBRIS1405DSU","21.09.2021","Search results under rule 164(2)(b) EPC","Search / examination","3"
"EP18712343","E6LY6HM69038DSU","17.08.2021","(Electronic) Receipt","Search / examination","1"
"EP18712343","E6LY6HJC8129DSU","17.08.2021","Matter concerning the application","Search / examination","2"
"EP18712343","E6EXEA4M3006DSU","02.07.2021","Annex to the communication","Search / examination","1"
"EP18712343","E6EXEA1S9370DSU","02.07.2021","Communication from the examining division with an Invitation to pay a search fee(s)","Search / examination","2"
"EP18712343","E6ESJZXM5470DSU","28.06.2021","Examination started","Search / examination","1"
"EP18712343","E4PS6VP11623DSU","27.04.2020","(Electronic) Receipt","Search / examination","1"
"EP18712343","E4PS6VI82341DSU","27.04.2020","Amended claims filed after receipt of (European) search report","Search / examination","4"
"EP18712343","E4PS6VLB0663DSU","27.04.2020","Amended description filed after receipt of (European) search report","Search / examination","12"
"EP18712343","E4PS6VHK4013DSU","27.04.2020","Amendments received before examination","Search / examination","2"
"EP18712343","E4PS6VGI1049DSU","27.04.2020","Letter accompanying subsequently filed items","Search / examination","1"
"EP18712343","E35AJLZB0158DSU","11.12.2019","Notification on forthcoming publication of bibliographic data","Search / examination","1"
"EP18712343","E3XFJC4A3117DSU","18.10.2019","Communication concerning correction of deficiencies in written opinion/amendment of application/payment of claims fee","Search / examination","3"
"EP18712343","E3XFI44P6068DSU","16.10.2019","Communication to designated inventor","Search / examination","1"
"EP18712343","E3XFJJME7405DSU","16.10.2019","Communication to designated inventor","Search / examination","1"
"EP18712343","E3XFJRJP1439DSU","16.10.2019","Communication to designated inventor","Search / examination","1"
"EP18712343","E3XFI44J6868DSU","16.10.2019","Communication to designated inventor","Search / examination","1"
"EP18712343","E3XFJC379729DSU","16.10.2019","Communication to designated inventor","Search / examination","1"
