"applicationNumber","documentId","date","title","phase","pages"
"EP17191704","E5744OS41445171","20.05.2021","Application deemed to be withdrawn (no reply to communication from the Examining Division)","Search / examination","2"
"EP17191704","E5WAH1TX1971DSU","23.02.2021","Grant of extension of time limit (examination procedure)","Search / examination","2"
"EP17191704","E5V8KUXC8710DSU","18.02.2021","(Electronic) Receipt","Search / examination","1"
"EP17191704","E5V8KUPG9482DSU","18.02.2021","Letter accompanying subsequently filed items","Search / examination","1"
"EP17191704","E5V8KUR35089DSU","18.02.2021","Request for extension of time limit to communication from the Examining Division","Search / examination","1"
"EP17191704","E5SSFZTA7816171","21.01.2021","Document concerning representation","Search / examination","1"
"EP17191704","E5SSFZTF2184171","21.01.2021","Document concerning representation","Search / examination","1"
"EP17191704","E5SSFZS59957171","21.01.2021","Letter accompanying subsequently filed items","Search / examination","1"
"EP17191704","E5DDLWIR8552DSU","14.10.2020","Annex to the communication","Search / examination","3"
"EP17191704","E5DDLWGK8223DSU","14.10.2020","Communication from the Examining Division","Search / examination","2"
"EP17191704","E4LZVGID3796DSU","03.04.2020","Decision to allow further processing","Search / examination","1"
"EP17191704","E4LDZ2457148DSU","27.03.2020","(Electronic) Receipt","Search / examination","1"
"EP17191704","E4LDZ2201510DSU","27.03.2020","Amended claims with annotations","Search / examination","1"
"EP17191704","E4LDZ21Q5777DSU","27.03.2020","Claims","Search / examination","1"
"EP17191704","E4LDZ2X29209DSU","27.03.2020","Letter accompanying subsequently filed items","Search / examination","2"
"EP17191704","E4LDZ2ZJ6199DSU","27.03.2020","Request for further processing","Search / examination","4"
"EP17191704","E4AXLCAA9029263","17.01.2020","Application deemed to be withdrawn (no reply to communication from the Examining Division)","Search / examination","2"
"EP17191704","E3WZOABQ6630DSU","11.10.2019","Grant of extension of time limit (examination procedure)","Search / examination","2"
"EP17191704","E3WTFV554686DSU","07.10.2019","(Electronic) Receipt","Search / examination","1"
"EP17191704","E3WTFV2E3266DSU","07.10.2019","Letter accompanying subsequently filed items","Search / examination","1"
"EP17191704","E3WTFV3O1430DSU","07.10.2019","Request for extension of time limit to communication from the Examining Division","Search / examination","1"
"EP17191704","E3EW7SAG8323DSU","07.06.2019","Annex to the communication","Search / examination","3"
"EP17191704","E3EW7R6I1771DSU","07.06.2019","Communication from the Examining Division","Search / examination","2"
"EP17191704","E3EC5EZW1222DSU","31.05.2019","Examination started","Search / examination","1"
"EP17191704","E2VD4HNX1951DSU","18.01.2019","(Electronic) Receipt","Search / examination","1"
"EP17191704","E2VD4HBW4014DSU","18.01.2019","Amended claims filed after receipt of (European) search report","Search / examination","1"
"EP17191704","E2VD4HKD8114DSU","18.01.2019","Amended claims with annotations","Search / examination","12"
"EP17191704","E2VD4G9V9642DSU","18.01.2019","Amendments received before examination","Search / examination","4"
"EP17191704","E2VD4G2C8725DSU","18.01.2019","Letter accompanying subsequently filed items","Search / examination","2"
"EP17191704","E15EY54V1607DSU","25.07.2018","Refund of fees","Search / examination","1"
"EP17191704","E14ZJXKU7925DSU","23.07.2018","Reminder period for payment of examination fee/designation fee and correction of deficiencies in Written Opinion/amendment","Search / examination","2"
"EP17191704","E1Z4PHYB1324DSU","19.06.2018","Communication regarding the transmission of the European search report","Search / examination","1"
"EP17191704","E1Z5WQQ66836DSU","19.06.2018","European search opinion","Search / examination","6"
"EP17191704","E1Z5WWMS1555DSU","19.06.2018","European search report","Search / examination","7"
"EP17191704","E1Z5WWMT8920DSU","19.06.2018","Information on Search Strategy","Search / examination","1"
"EP17191704","E1N9TXNA4202DSU","28.03.2018","Notification of forthcoming publication","Search / examination","2"
"EP17191704","E1L4KZYM1386DSU","13.03.2018","Communication regarding the transmission of the European search report","Search / examination","2"
"EP17191704","E1L5SCRW5729DSU","13.03.2018","Information on Search Strategy","Search / examination","1"
"EP17191704","E1L5SCR34204DSU","13.03.2018","Partial European search report","Search / examination","7"
"EP17191704","E1L5SBXS5726DSU","13.03.2018","Provisional opinion accompanying the partial search results","Search / examination","6"
"EP17191704","E1KRDC9D8087DSU","26.02.2018","Search started","Search / examination","1"
"EP17191704","E1JRIIR47879DSU","19.02.2018","(Electronic) Receipt","Search / examination","1"
"EP17191704","E1JRIIMI9610DSU","19.02.2018","Letter accompanying subsequently filed items","Search / examination","1"
"EP17191704","E1JRIIOO4277DSU","19.02.2018","Letter concerning the inventor","Search / examination","1"
"EP17191704","E1HZC94E2980DSU","12.02.2018","Communication to designated inventor","Search / examination","1"
"EP17191704","E1HSN4BW1013DSU","05.02.2018","(Electronic) Receipt","Search / examination","1"
"EP17191704","E1HSN33I6866DSU","05.02.2018","Letter accompanying subsequently filed items","Search / examination","1"
"EP17191704","E1HSN36E6383DSU","05.02.2018","Letter concerning the inventor","Search / examination","1"
"EP17191704","E1C6HG562220DSU","09.01.2018","Invitation to indicate correct address of inventor","Search / examination","1"
"EP17191704","E1C165DW3839020","27.12.2017","Letter which had not been notified","Search / examination","2"
"EP17191704","E1ACPKAX8746DSU","20.12.2017","Invitation to indicate correct address of inventor","Search / examination","1"
"EP17191704","E1ASLJVV6942DSU","18.12.2017","(Electronic) Receipt","Search / examination","1"
"EP17191704","E1ASLJNW8268DSU","18.12.2017","Letter accompanying subsequently filed items","Search / examination","2"
"EP17191704","E1ASLJQP7477DSU","18.12.2017","Letter concerning fees and payments","Search / examination","1"
"EP17191704","E09WHBG07649DSU","15.12.2017","Communication confirming withdrawal from representation","Search / examination","1"
"EP17191704","E09WH3C86359DSU","15.12.2017","Communication of amended entries concerning the representative","Search / examination","1"
"EP17191704","E092QB0N2445020","13.12.2017","Letter which had not been notified","Search / examination","2"
"EP17191704","E09XIDFT9708DSU","12.12.2017","(Electronic) Receipt","Search / examination","1"
"EP17191704","E09XIC7F5746DSU","12.12.2017","Letter accompanying subsequently filed items","Search / examination","1"
"EP17191704","E09XIC966578DSU","12.12.2017","Submission concerning change of applicant's representative","Search / examination","2"
"EP17191704","E09ROBEG9269DSU","11.12.2017","(Electronic) Receipt","Search / examination","1"
"EP17191704","E09ROA8K7417DSU","11.12.2017","Letter accompanying subsequently filed items","Search / examination","1"
"EP17191704","E09ROBBD5827DSU","11.12.2017","Submission concerning change of applicant's representative","Search / examination","1"
"EP17191704","E0667Y3Z5004410","30.11.2017","Invitation to pay claims fees","Search / examination","2"
"EP17191704","E04T7TDO2155DSU","10.11.2017","Communication to designated inventor","Search / examination","1"
"EP17191704","E04T4O3N0622DSU","10.11.2017","Communication to designated inventor","Search / examination","1"
"EP17191704","E04T60F18656DSU","10.11.2017","Communication to designated inventor","Search / examination","1"
"EP17191704","E04T56ZZ9921DSU","10.11.2017","Communication to designated inventor","Search / examination","1"
"EP17191704","E04T5DKY1680DSU","10.11.2017","Communication to designated inventor","Search / examination","1"
"EP17191704","E0116XPF1174DSU","18.10.2017","(Electronic) Receipt","Search / examination","1"
"EP17191704","E0116XMR4062DSU","18.10.2017","Letter accompanying subsequently filed items","Search / examination","2"
"EP17191704","E0XSQBDH5433DSU","18.09.2017","Abstract","Search / examination","1"
"EP17191704","E0XSQBRX9409DSU","18.09.2017","Acknowledgement of receipt of electronic submission of the request for grant of a European patent","Search / examination","2"
"EP17191704","E0XSQBDH2910DSU","18.09.2017","Claims","Search / examination","10"
"EP17191704","E0XSQBDH0111DSU","18.09.2017","Description","Search / examination","175"
"EP17191704","E0XSQBMC0496DSU","18.09.2017","Designation of inventor","Search / examination","2"
"EP17191704","E0XSQBJI4573DSU","18.09.2017","Drawings","Search / examination","8"
"EP17191704","E0XSP8QS2589DSU","18.09.2017","Request for grant of a European patent","Search / examination","5"
"EP17191704","E0Y1HNYY1482410","10.02.2010","Priority document (electronically transmitted)","Search / examination","150"
