"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP17821262","LPLULCMM1XCLGXL","07.12.2023","Decision to grant a European patent","Search / examination","3","07-12-2023_Decision_to_grant_a_European_patent_LPLULCMM1XCLGXL.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\07-12-2023_Decision_to_grant_a_European_patent_LPLULCMM1XCLGXL.pdf","https://register.epo.org/application?documentId=LPLULCMM1XCLGXL&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LMHJJNDJVIBSBFZ","21.09.2023","Communication about intention to grant a European patent","Search / examination","5","21-09-2023_Communication_about_intention_to_grant_a_European_patent_LMHJJNDJVIBSBFZ.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\21-09-2023_Communication_about_intention_to_grant_a_European_patent_LMHJJNDJVIBSBFZ.pdf","https://register.epo.org/application?documentId=LMHJJNDJVIBSBFZ&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LMIBSUC8NRS7XTU","21.09.2023","Text intended for grant (clean copy)","Search / examination","98","21-09-2023_Text_intended_for_grant_(clean_copy)_LMIBSUC8NRS7XTU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\21-09-2023_Text_intended_for_grant_(clean_copy)_LMIBSUC8NRS7XTU.pdf","https://register.epo.org/application?documentId=LMIBSUC8NRS7XTU&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LMIBT1MI1SR8LZ5","21.09.2023","Text intended for grant (version for approval)","Search / examination","98","21-09-2023_Text_intended_for_grant_(version_for_approval)_LMIBT1MI1SR8LZ5.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\21-09-2023_Text_intended_for_grant_(version_for_approval)_LMIBT1MI1SR8LZ5.pdf","https://register.epo.org/application?documentId=LMIBT1MI1SR8LZ5&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LLF2ANZL5YH3EJB","17.08.2023","Description","Search / examination","76","17-08-2023_Description_LLF2ANZL5YH3EJB.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\17-08-2023_Description_LLF2ANZL5YH3EJB.pdf","https://register.epo.org/application?documentId=LLF2ANZL5YH3EJB&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LGC7NX99BYLEO9M","19.04.2023","Communication about intention to grant a European patent","Search / examination","5","19-04-2023_Communication_about_intention_to_grant_a_European_patent_LGC7NX99BYLEO9M.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\19-04-2023_Communication_about_intention_to_grant_a_European_patent_LGC7NX99BYLEO9M.pdf","https://register.epo.org/application?documentId=LGC7NX99BYLEO9M&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LGCVL57MDLYUZS0","19.04.2023","Text intended for grant (clean copy)","Search / examination","100","19-04-2023_Text_intended_for_grant_(clean_copy)_LGCVL57MDLYUZS0.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\19-04-2023_Text_intended_for_grant_(clean_copy)_LGCVL57MDLYUZS0.pdf","https://register.epo.org/application?documentId=LGCVL57MDLYUZS0&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LGCVLEJZ73X119Y","19.04.2023","Text intended for grant (version for approval)","Search / examination","100","19-04-2023_Text_intended_for_grant_(version_for_approval)_LGCVLEJZ73X119Y.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\19-04-2023_Text_intended_for_grant_(version_for_approval)_LGCVLEJZ73X119Y.pdf","https://register.epo.org/application?documentId=LGCVLEJZ73X119Y&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LF8FSH8KL9DERYU","14.03.2023","Amended claims with annotations","Search / examination","2","14-03-2023_Amended_claims_with_annotations_LF8FSH8KL9DERYU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\14-03-2023_Amended_claims_with_annotations_LF8FSH8KL9DERYU.pdf","https://register.epo.org/application?documentId=LF8FSH8KL9DERYU&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LF8FSGVB1QJX7B2","14.03.2023","Claims","Search / examination","2","14-03-2023_Claims_LF8FSGVB1QJX7B2.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\14-03-2023_Claims_LF8FSGVB1QJX7B2.pdf","https://register.epo.org/application?documentId=LF8FSGVB1QJX7B2&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LAJSRS7XEWG7RQI","24.11.2022","Communication about intention to grant a European patent","Search / examination","5","24-11-2022_Communication_about_intention_to_grant_a_European_patent_LAJSRS7XEWG7RQI.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\24-11-2022_Communication_about_intention_to_grant_a_European_patent_LAJSRS7XEWG7RQI.pdf","https://register.epo.org/application?documentId=LAJSRS7XEWG7RQI&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LAK70A0HFQSL0R8","24.11.2022","Text intended for grant (clean copy)","Search / examination","99","24-11-2022_Text_intended_for_grant_(clean_copy)_LAK70A0HFQSL0R8.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\24-11-2022_Text_intended_for_grant_(clean_copy)_LAK70A0HFQSL0R8.pdf","https://register.epo.org/application?documentId=LAK70A0HFQSL0R8&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","LAK70HWQCJGP1CN","24.11.2022","Text intended for grant (version for approval)","Search / examination","99","24-11-2022_Text_intended_for_grant_(version_for_approval)_LAK70HWQCJGP1CN.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\24-11-2022_Text_intended_for_grant_(version_for_approval)_LAK70HWQCJGP1CN.pdf","https://register.epo.org/application?documentId=LAK70HWQCJGP1CN&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","KW2B23ADLWSS7WZ","16.11.2021","Amended claims with annotations","Search / examination","2","16-11-2021_Amended_claims_with_annotations_KW2B23ADLWSS7WZ.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\16-11-2021_Amended_claims_with_annotations_KW2B23ADLWSS7WZ.pdf","https://register.epo.org/application?documentId=KW2B23ADLWSS7WZ&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","KW2B2BU310CEUQK","16.11.2021","Claims","Search / examination","1","16-11-2021_Claims_KW2B2BU310CEUQK.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\16-11-2021_Claims_KW2B2BU310CEUQK.pdf","https://register.epo.org/application?documentId=KW2B2BU310CEUQK&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","KW2B2H8AY7SPCWZ","16.11.2021","Description","Search / examination","78","16-11-2021_Description_KW2B2H8AY7SPCWZ.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\16-11-2021_Description_KW2B2H8AY7SPCWZ.pdf","https://register.epo.org/application?documentId=KW2B2H8AY7SPCWZ&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","KW2B22NXIEP713W","16.11.2021","Reply to communication from the Examining Division","Search / examination","4","16-11-2021_Reply_to_communication_from_the_Examining_Division_KW2B22NXIEP713W.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\16-11-2021_Reply_to_communication_from_the_Examining_Division_KW2B22NXIEP713W.pdf","https://register.epo.org/application?documentId=KW2B22NXIEP713W&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","E56CWG9M8399DSU","06.05.2021","Annex to the communication","Search / examination","2","06-05-2021_Annex_to_the_communication_E56CWG9M8399DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\06-05-2021_Annex_to_the_communication_E56CWG9M8399DSU.pdf","https://register.epo.org/application?documentId=E56CWG9M8399DSU&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","E56CWG7F0075DSU","06.05.2021","Communication from the Examining Division","Search / examination","2","06-05-2021_Communication_from_the_Examining_Division_E56CWG7F0075DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\06-05-2021_Communication_from_the_Examining_Division_E56CWG7F0075DSU.pdf","https://register.epo.org/application?documentId=E56CWG7F0075DSU&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","E4Y8KAXT5605DSU","02.07.2020","Amended claims filed after receipt of (European) search report","Search / examination","2","02-07-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E4Y8KAXT5605DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\02-07-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E4Y8KAXT5605DSU.pdf","https://register.epo.org/application?documentId=E4Y8KAXT5605DSU&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","E4Y8KATT0423DSU","02.07.2020","Amended claims with annotations","Search / examination","10","02-07-2020_Amended_claims_with_annotations_E4Y8KATT0423DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\02-07-2020_Amended_claims_with_annotations_E4Y8KATT0423DSU.pdf","https://register.epo.org/application?documentId=E4Y8KATT0423DSU&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","E4EV8BHL8716DSU","14.02.2020","European search opinion","Search / examination","2","14-02-2020_European_search_opinion_E4EV8BHL8716DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\14-02-2020_European_search_opinion_E4EV8BHL8716DSU.pdf","https://register.epo.org/application?documentId=E4EV8BHL8716DSU&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","E4EV8CBO5850DSU","14.02.2020","Supplementary European search report","Search / examination","3","14-02-2020_Supplementary_European_search_report_E4EV8CBO5850DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\14-02-2020_Supplementary_European_search_report_E4EV8CBO5850DSU.pdf","https://register.epo.org/application?documentId=E4EV8CBO5850DSU&appnumber=EP17821262&showPdfPage=all&proc="
"EP17821262","E2WDRFMZ6611DSU","25.01.2019","Amended claims filed after receipt of (European) search report","Search / examination","6","25-01-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E2WDRFMZ6611DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\docs\25-01-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E2WDRFMZ6611DSU.pdf","https://register.epo.org/application?documentId=E2WDRFMZ6611DSU&appnumber=EP17821262&showPdfPage=all&proc="
