"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP18755728","LMJRXZDLNYREI0I","21.09.2023","Decision to grant a European patent","Search / examination","3","21-09-2023_Decision_to_grant_a_European_patent_LMJRXZDLNYREI0I.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\21-09-2023_Decision_to_grant_a_European_patent_LMJRXZDLNYREI0I.pdf","https://register.epo.org/application?documentId=LMJRXZDLNYREI0I&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","LH68QDD010AXE8Z","11.05.2023","Communication about intention to grant a European patent","Search / examination","5","11-05-2023_Communication_about_intention_to_grant_a_European_patent_LH68QDD010AXE8Z.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\11-05-2023_Communication_about_intention_to_grant_a_European_patent_LH68QDD010AXE8Z.pdf","https://register.epo.org/application?documentId=LH68QDD010AXE8Z&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","LH6VQJUJ1U4DFRZ","11.05.2023","Text intended for grant (clean copy)","Search / examination","235","11-05-2023_Text_intended_for_grant_(clean_copy)_LH6VQJUJ1U4DFRZ.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\11-05-2023_Text_intended_for_grant_(clean_copy)_LH6VQJUJ1U4DFRZ.pdf","https://register.epo.org/application?documentId=LH6VQJUJ1U4DFRZ&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","LH6VR0EPRF3FQZY","11.05.2023","Text intended for grant (version for approval)","Search / examination","235","11-05-2023_Text_intended_for_grant_(version_for_approval)_LH6VR0EPRF3FQZY.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\11-05-2023_Text_intended_for_grant_(version_for_approval)_LH6VR0EPRF3FQZY.pdf","https://register.epo.org/application?documentId=LH6VR0EPRF3FQZY&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","LBMB5GSM1PCEFBO","13.12.2022","Description","Search / examination","205","13-12-2022_Description_LBMB5GSM1PCEFBO.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\13-12-2022_Description_LBMB5GSM1PCEFBO.pdf","https://register.epo.org/application?documentId=LBMB5GSM1PCEFBO&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","LBMB5GFX1JOJXPM","13.12.2022","Reply to communication from the Examining Division","Search / examination","1","13-12-2022_Reply_to_communication_from_the_Examining_Division_LBMB5GFX1JOJXPM.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\13-12-2022_Reply_to_communication_from_the_Examining_Division_LBMB5GFX1JOJXPM.pdf","https://register.epo.org/application?documentId=LBMB5GFX1JOJXPM&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","L5CIG8YH1A5RUVP","13.07.2022","Annex to the communication","Search / examination","2","13-07-2022_Annex_to_the_communication_L5CIG8YH1A5RUVP.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\13-07-2022_Annex_to_the_communication_L5CIG8YH1A5RUVP.pdf","https://register.epo.org/application?documentId=L5CIG8YH1A5RUVP&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","L5CIG8YF1322AFQ","13.07.2022","Communication from the Examining Division","Search / examination","2","13-07-2022_Communication_from_the_Examining_Division_L5CIG8YF1322AFQ.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\13-07-2022_Communication_from_the_Examining_Division_L5CIG8YF1322AFQ.pdf","https://register.epo.org/application?documentId=L5CIG8YF1322AFQ&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","L0QSTJBSGV6RA5G","14.03.2022","Amended claims with annotations","Search / examination","30","14-03-2022_Amended_claims_with_annotations_L0QSTJBSGV6RA5G.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\14-03-2022_Amended_claims_with_annotations_L0QSTJBSGV6RA5G.pdf","https://register.epo.org/application?documentId=L0QSTJBSGV6RA5G&appnumber=EP18755728&showPdfPage=all&proc="
"EP18755728","L0QSTZLR14CECJ3","14.03.2022","Claims","Search / examination","30","14-03-2022_Claims_L0QSTZLR14CECJ3.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\docs\14-03-2022_Claims_L0QSTZLR14CECJ3.pdf","https://register.epo.org/application?documentId=L0QSTZLR14CECJ3&appnumber=EP18755728&showPdfPage=all&proc="
