"applicationNumber","documentId","date","title","phase","pages"
"EP18755728","LZXEHXFI1HHWT64","21.08.2024","Communication regarding the expiry of opposition period","Search / examination","1"
"EP18755728","LO39DEQWG63MG7S","31.10.2023","Transmission of the certificate for a European patent pursuant to Rule 74 EPC","Search / examination","1"
"EP18755728","LMJRXZDLNYREI0I","21.09.2023","Decision to grant a European patent","Search / examination","3"
"EP18755728","LM6GN4WR6XJMIXW","05.09.2023","(Electronic) Receipt","Search / examination","1"
"EP18755728","LM6GMSQ69NWME61","05.09.2023","Filing of the translations of the claims","Search / examination","1"
"EP18755728","LM6GMWNW1715QCW","05.09.2023","French translation of claims","Search / examination","35"
"EP18755728","LM6GMTH81J6N3LO","05.09.2023","German translation of the claims","Search / examination","31"
"EP18755728","LM6GMSD11H5GIFD","05.09.2023","Letter accompanying subsequently filed items","Search / examination","2"
"EP18755728","LH68QEU31SXNYSC","11.05.2023","Annex to the communication about intention to grant a European patent","Search / examination","1"
"EP18755728","LH68QE4YHUBSX91","11.05.2023","Bibliographic data of the European patent application","Search / examination","2"
"EP18755728","LH68QDD010AXE8Z","11.05.2023","Communication about intention to grant a European patent","Search / examination","5"
"EP18755728","LH68R7LKWBDCHFT","11.05.2023","Intention to grant (signatures)","Search / examination","1"
"EP18755728","LH6VQJUJ1U4DFRZ","11.05.2023","Text intended for grant (clean copy)","Search / examination","235"
"EP18755728","LH6VR0EPRF3FQZY","11.05.2023","Text intended for grant (version for approval)","Search / examination","235"
"EP18755728","LBMB6JCW18C1JA9","13.12.2022","(Electronic) Receipt","Search / examination","1"
"EP18755728","LBMB635QFR8X6HX","13.12.2022","Amended description with annotations","Search / examination","209"
"EP18755728","LBMB5GSM1PCEFBO","13.12.2022","Description","Search / examination","205"
"EP18755728","LBMB5FZUYRKKJVY","13.12.2022","Letter accompanying subsequently filed items","Search / examination","1"
"EP18755728","LBMB5GFX1JOJXPM","13.12.2022","Reply to communication from the Examining Division","Search / examination","1"
"EP18755728","LAR4SIMFOSW6A63","24.11.2022","Grant of extension of time limit (examination procedure)","Search / examination","2"
"EP18755728","LAQVJWLYSG4SSJQ","21.11.2022","(Electronic) Receipt","Search / examination","1"
"EP18755728","LAQVJVHKNMLVT62","21.11.2022","Letter accompanying subsequently filed items","Search / examination","1"
"EP18755728","LAQVJW08YHRVGRS","21.11.2022","Request for extension of time limit to communication from the Examining Division","Search / examination","1"
"EP18755728","L5CIG8YH1A5RUVP","13.07.2022","Annex to the communication","Search / examination","2"
"EP18755728","L5CIG8YF1322AFQ","13.07.2022","Communication from the Examining Division","Search / examination","2"
"EP18755728","L0QSUJOB1559V71","14.03.2022","(Electronic) Receipt","Search / examination","1"
