pdf,txt,status,returncode,error
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/05-02-2021_Amended_claims_filed_after_receipt_of_(European)_search_report_E5UDSRGJ8116DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/05-02-2021_Amended_claims_filed_after_receipt_of_(European)_search_report_E5UDSRGJ8116DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/05-02-2021_Amended_claims_filed_after_receipt_of_(European)_search_report_E5UDSRGJ8116DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/05-02-2021_Amended_claims_filed_after_receipt_of_(European)_search_report_E5UDSRGJ8116DSU_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/05-02-2021_Amended_claims_with_annotations_E5UDSQ4F7745DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/05-02-2021_Amended_claims_with_annotations_E5UDSQ4F7745DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/05-02-2021_Amended_claims_with_annotations_E5UDSQ4F7745DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/05-02-2021_Amended_claims_with_annotations_E5UDSQ4F7745DSU_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Amended_claims_with_annotations_L8YNFNRLLXXUM4Q.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Amended_claims_with_annotations_L8YNFNRLLXXUM4Q_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Amended_claims_with_annotations_L8YNFNRLLXXUM4Q.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Amended_claims_with_annotations_L8YNFNRLLXXUM4Q_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Claims_L8YNFKA71276FYY.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Claims_L8YNFKA71276FYY_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Claims_L8YNFKA71276FYY.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Claims_L8YNFKA71276FYY_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Reply_to_communication_from_the_Examining_Division_L8YNFQZTDQBW27X.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Reply_to_communication_from_the_Examining_Division_L8YNFQZTDQBW27X_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Reply_to_communication_from_the_Examining_Division_L8YNFQZTDQBW27X.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/07-10-2022_Reply_to_communication_from_the_Examining_Division_L8YNFQZTDQBW27X_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/14-01-2025_Communication_about_intention_to_grant_a_European_patent_M5QOWNYD1Q6S6C9.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/14-01-2025_Communication_about_intention_to_grant_a_European_patent_M5QOWNYD1Q6S6C9_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/14-01-2025_Communication_about_intention_to_grant_a_European_patent_M5QOWNYD1Q6S6C9.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/14-01-2025_Communication_about_intention_to_grant_a_European_patent_M5QOWNYD1Q6S6C9_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/17-04-2023_Annex_to_the_communication_LGDQA3X51DEL787.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/17-04-2023_Annex_to_the_communication_LGDQA3X51DEL787_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/17-04-2023_Annex_to_the_communication_LGDQA3X51DEL787.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/17-04-2023_Annex_to_the_communication_LGDQA3X51DEL787_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/17-04-2023_Communication_from_the_Examining_Division_LGDQA3X3CWX482I.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/17-04-2023_Communication_from_the_Examining_Division_LGDQA3X3CWX482I_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/17-04-2023_Communication_from_the_Examining_Division_LGDQA3X3CWX482I.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/17-04-2023_Communication_from_the_Examining_Division_LGDQA3X3CWX482I_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/18-12-2018_Claims_E2QXUDU73532DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/18-12-2018_Claims_E2QXUDU73532DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/18-12-2018_Claims_E2QXUDU73532DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/18-12-2018_Claims_E2QXUDU73532DSU_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/18-12-2024_Annex_to_the_communication_M4SL5G5B18RI5JG.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/18-12-2024_Annex_to_the_communication_M4SL5G5B18RI5JG_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/18-12-2024_Annex_to_the_communication_M4SL5G5B18RI5JG.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/18-12-2024_Annex_to_the_communication_M4SL5G5B18RI5JG_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/19-12-2024_Amended_claims_with_annotations_M4VHI8ADVPJPKN5.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/19-12-2024_Amended_claims_with_annotations_M4VHI8ADVPJPKN5_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/19-12-2024_Amended_claims_with_annotations_M4VHI8ADVPJPKN5.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/19-12-2024_Amended_claims_with_annotations_M4VHI8ADVPJPKN5_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP18826609/docs/19-12-2024_Claims_M4VHIAB219BEKRC.pdf,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/19-12-2024_Claims_M4VHIAB219BEKRC_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP18826609/docs/19-12-2024_Claims_M4VHIAB219BEKRC.pdf -> 疾病分类9个样例/自身免疫性疾病/EP18826609/docs/19-12-2024_Claims_M4VHIAB219BEKRC_ocr.txt 
